Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Account Assistant,Private Advertiser,"Kuching, Sarawak",,"Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76413063?type=standard&ref=search-standalone
Content Creator (TikTok Live),SYARIKAT KERIS SAKTI,"Kuching, Sarawak","RM 1,600 – RM 1,800 per month","Marketing CommunicationsMarketing Communications , Marketing & Communications(Marketing & Communications)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76391562?type=standard&ref=search-standalone
Account Officer,Timur Lube Sdn. Bhd.,"Kuching, Sarawak","RM 2,800 – RM 3,200 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",Annual incrementAnnual bonusEnjoy staff welfare benefit,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76371999?type=standout&ref=search-standalone
Loan Assessor Assistant 审核助理,BIG GRAIN CREDIT SDN. BHD.,"Kuching, Sarawak","RM 1,600 – RM 2,400 per month","CreditCredit , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76401357?type=standard&ref=search-standalone
Internal Auditor (IA),HH Capacity Sdn Bhd,"Kuching, Sarawak",,"Audit - InternalAudit - Internal , Accounting(Accounting)",Opportunities to promotionProfessional DevelopmentYearly bonus and increment,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76404287?type=standout&ref=search-standalone
SUPERVISOR,CULTURE CITY KUCHING,"Kuching, Sarawak",,"Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76421456?type=standard&ref=search-standalone
Account Executive,LIANSIN TRADING SDN. BHD.,"Kuching, Sarawak","RM 2,000 – RM 2,500 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76167233?type=standard&ref=search-standalone
ACCOUNT EXECUTIVE,ARC CREATORS SDN BHD,"Kuching, Sarawak","MYR 2,500 - 3,500","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76381472?type=standard&ref=search-standalone
Data Entry Clerk,FORDA TRADING SDN BHD,"Kuching, Sarawak",,"Data Entry & Word ProcessingData Entry & Word Processing , Administration & Office Support(Administration & Office Support)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392542?type=standard&ref=search-standalone
SERVICE CREW,CULTURE CITY KUCHING,"Kuching, Sarawak",,"Consulting & Generalist HRConsulting & Generalist HR , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76421472?type=standard&ref=search-standalone
ACCOUNT EXECUTIVE,UNIQUE DECO SDN BHD.,"Kuching, Sarawak",,"Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392385?type=standard&ref=search-standalone
Account Clerk 会计助理,BIG GRAIN CREDIT SDN. BHD.,"Kuching, Sarawak","RM 2,500 – RM 3,500 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76401327?type=standard&ref=search-standalone
"SME Loan Specialist (Location: Kuching, Sarawak)",Alliance Bank Malaysia Berhad,"Kuching, Sarawak",,"CreditCredit , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76375610?type=standard&ref=search-standalone
KITCHEN HELPER,CULTURE CITY KUCHING,"Kuching, Sarawak",,"OtherOther , Human Resources & Recruitment(Human Resources & Recruitment)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76421435?type=standard&ref=search-standalone
Golf Club Manager,K ONE SCREEN GOLF,"Kuching, Sarawak","RM 1,800 – RM 2,100 per month","ManagementManagement , Sport & Recreation(Sport & Recreation)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76418515?type=standard&ref=search-standalone
Bridge Design Engineer,KONSORTIUM HNEH SDN BHD,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392772?type=standard&ref=search-standalone
Road Design Engineer,KONSORTIUM HNEH SDN BHD,"Kuching, Sarawak",,"Civil/Structural EngineeringCivil/Structural Engineering , Engineering(Engineering)",,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76392466?type=standard&ref=search-standalone
Machine Operator,POLYTECH PLASTIC SDN. BHD.,"Kuching, Sarawak","RM 1,500 – RM 2,250 per month","Machine OperatorsMachine Operators , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76432614?type=standard&ref=search-standalone
